eng_TAMsimp,prophetic,prose,instruction,poetry,list
FUT ~ MOD would,4.5,0.38,inf,10.0,inf
MOD can ~ MOD shall,inf,0.43,2.33,inf,inf
MOD shall ~ PAST,0.8,inf,1.25,inf,inf
MOD let ~ MOD shall,2.0,0.8,8.0,inf,inf
MOD is to ~ PRES,7.0,3.0,0.6,inf,inf
MOD is to ~ MOD let,inf,7.0,0.14,inf,inf
MOD let ~ MOD may,1.67,0.6,inf,inf,inf
FUT ~ PAST,3.0,1.0,7.0,7.0,inf
MOD is to ~ PAST,6.0,inf,0.17,inf,inf
MOD lest ~ MOD may,2.5,6.0,inf,0.75,inf
PAST ~ TO INF,2.5,inf,1.33,6.0,6.0
MOD lest ~ TO INF,6.0,0.17,inf,inf,inf
PAST ~ PAST PROG,2.5,0.4,inf,inf,inf
MOD shall ~ PRES PERF,1.0,5.0,2.0,inf,inf
FUT ~ PRES PERF,0.5,2.0,inf,inf,inf
IMPV ~ MOD lest,1.5,1.5,4.0,inf,inf
MOD shall ~ MOD would,inf,0.0,inf,inf,inf
MOD may ~ MOD must,inf,4.0,0.25,inf,inf
MOD can,4.0,1.5,inf,1.5,inf
MOD would ~ PRES,inf,1.5,4.0,1.5,inf
IMPV ~ PAST,inf,0.25,4.0,inf,inf
MOD should ~ PRES,3.0,1.0,3.0,inf,inf
HAB used to ~ PAST,inf,0.0,inf,inf,inf
IMPV ~ MOD may,3.0,1.0,3.0,inf,inf
IMPV ~ MOD must,inf,0.0,inf,inf,inf
PAST PERF,inf,0.33,3.0,inf,inf
MOD shall ~ MOD should,inf,0.0,inf,inf,inf
FUT ~ MOD can,0.33,3.0,inf,inf,inf
MOD let ~ TO INF,inf,0.0,inf,inf,inf
FUT ~ FUT PERF,inf,0.33,inf,3.0,inf
MOD should,inf,0.33,inf,3.0,inf
MOD could ~ MOD may,inf,0.0,inf,inf,inf
PAST ~ PAST PERF,2.0,0.5,inf,inf,inf
MOD can ~ PRES,inf,2.0,2.0,2.0,inf
MOD should ~ TO INF,2.0,inf,inf,0.5,inf
IMPV ~ MOD would,inf,0.0,inf,inf,inf
MOD VB ~ PRES,2.0,inf,0.5,inf,inf
MOD is to ~ TO INF,inf,inf,0.0,inf,inf
HAB used to ~ MOD would,inf,0.0,inf,inf,inf
HAB used to,inf,0.5,inf,2.0,inf
MOD was to,inf,0.0,inf,inf,inf
FUT ~ FUT going-to,0.5,2.0,inf,inf,inf
IMPV ~ MOD is to,inf,0.0,inf,inf,inf
MOD that be ~ TO INF,inf,inf,0.0,inf,inf
MOD was to ~ PAST,inf,inf,inf,inf,0.0
PRES ~ PRES PROG,inf,0.0,inf,inf,inf
FUT ~ MOD must,inf,0.0,inf,inf,inf
IMPV ~ PRES PART,inf,0.0,inf,inf,inf
MOD would ~ PRES PART,inf,0.0,inf,inf,inf
FUT going-to ~ MOD shall,inf,0.0,inf,inf,inf
PRES PART ~ PRES PERF,0.0,inf,inf,inf,inf
MOD may ~ PRES PART,inf,1.0,inf,1.0,inf
MOD can ~ MOD let,inf,1.0,1.0,inf,inf
MOD lest ~ MOD might,inf,1.0,1.0,inf,inf
MOD may ~ MOD should,inf,inf,inf,0.0,inf
MOD let ~ PRES,inf,1.0,1.0,inf,inf
MOD must ~ PRES,inf,inf,1.0,1.0,inf
MOD let ~ MOD must,1.0,1.0,inf,inf,inf
MOD lest ~ PRES PART,inf,0.0,inf,inf,inf
MOD lest ~ MOD must,inf,0.0,inf,inf,inf
MOD must ~ PRES PART,inf,1.0,1.0,inf,inf
MOD is to ~ MOD may,inf,0.0,inf,inf,inf
MOD let ~ PRES PART,inf,0.0,inf,inf,inf
MOD should ~ MOD would,inf,0.0,inf,inf,inf
MOD let ~ MOD should,inf,0.0,inf,inf,inf
MOD let ~ MOD would,inf,inf,inf,inf,0.0
MOD can ~ TO INF,0.0,inf,inf,inf,inf
MOD would ~ PRES PROG,inf,0.0,inf,inf,inf
FUT ~ MOD is to,inf,0.0,inf,inf,inf
FUT ~ MOD VB,inf,0.0,inf,inf,inf
MOD ~ MOD would,inf,0.0,inf,inf,inf
MOD would ~ TO INF,inf,0.0,inf,inf,inf
MOD must,inf,inf,0.0,inf,inf
FUT ~ FUT PROG,inf,inf,0.0,inf,inf
MOD might ~ MOD would,inf,0.0,inf,inf,inf
PAST PROG ~ TO INF,inf,0.0,inf,inf,inf
FUT PROG,0.0,inf,inf,inf,inf
FUT ~ MOD should,inf,0.0,inf,inf,inf
FUT ~ MOD that be,inf,inf,0.0,inf,inf
PAST PERF ~ PRES PART,inf,0.0,inf,inf,inf
MOD could,inf,0.0,inf,inf,inf
PRES PERF ~ TO INF,inf,0.0,inf,inf,inf
MOD let ~ MOD might,inf,inf,inf,inf,0.0
MOD might,inf,0.0,inf,inf,inf
MOD quest must ~ MOD shall,inf,0.0,inf,inf,inf
PRES ~ VB,0.0,inf,inf,inf,inf
MOD could ~ MOD would,inf,0.0,inf,inf,inf
MOD lest ~ PRES,inf,inf,0.0,inf,inf
HAB used to ~ PAST PROG,inf,0.0,inf,inf,inf
HAB used to ~ PRES PART,inf,0.0,inf,inf,inf
MOD could ~ TO INF,inf,0.0,inf,inf,inf
IMPV ~ MOD VB,inf,0.0,inf,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf,inf,inf
MOD is to ~ PRES PART,inf,inf,0.0,inf,inf
MOD VB ~ MOD can,inf,0.0,inf,inf,inf
