eng_TAMsimp,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
PAST PERF ~ PRES,2,0,0,0,0,1,1,0,0,0,0
IMPV ~ PAST,1,1,0,0,1,0,1,0,0,0,0
MOD should ~ PAST,2,0,2,0,0,0,0,0,0,0,0
HAB used to,2,0,0,0,2,0,0,0,0,0,0
IMPV ~ MOD lest,1,1,1,0,1,0,0,0,0,0,0
MOD let ~ MOD may,1,0,0,1,1,0,0,0,1,0,0
FUT ~ PRES PROG,2,0,0,0,0,1,0,0,0,0,0
MOD shall ~ PRES PERF,1,1,0,0,1,0,0,0,0,0,0
MOD would ~ PRES PART,2,0,0,0,0,1,0,0,0,0,0
FUT ~ MOD that be,0,1,0,0,0,0,0,2,0,0,0
MOD can ~ MOD let,1,1,0,1,0,0,0,0,0,0,0
PAST PROG,0,0,1,0,2,0,0,0,0,0,0
MOD can ~ MOD might,2,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD would,0,2,1,0,0,0,0,0,0,0,0
MOD could ~ MOD must,3,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD should,3,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,2,0,0,0,1,0,0,0,0,0,0
PRES PART ~ PRES PERF,2,1,0,0,0,0,0,0,0,0,0
MOD may ~ MOD might,1,1,0,1,0,0,0,0,0,0,0
FUT PROG ~ PRES,2,0,0,0,1,0,0,0,0,0,0
MOD is to ~ PRES PART,1,0,0,0,0,2,0,0,0,0,0
PRES ~ PRES do,0,1,0,0,1,0,0,0,0,0,0
MOD may ~ PAST,1,0,1,0,0,0,0,0,0,0,0
MOD lest ~ MOD should,1,0,1,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,1,0,0,0,0,0,1,0,0,0,0
MOD lest ~ MOD shall,0,1,1,0,0,0,0,0,0,0,0
IMPV ~ MOD should,2,0,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,1,0,0,0,0,1,0,0,0,0,0
MOD let ~ PAST,1,1,0,0,0,0,0,0,0,0,0
MOD need not ~ PRES,0,0,1,0,0,1,0,0,0,0,0
MOD need not ~ MOD shall,0,1,1,0,0,0,0,0,0,0,0
MOD let ~ TO INF,0,0,0,0,1,0,1,0,0,0,0
MOD can ~ MOD must,1,0,0,0,0,1,0,0,0,0,0
PAST PROG ~ PRES,0,1,0,1,0,0,0,0,0,0,0
MOD could ~ TO INF,0,1,0,0,1,0,0,0,0,0,0
MOD may ~ PRES PERF,2,0,0,0,0,0,0,0,0,0,0
PRES PROG,1,0,0,0,1,0,0,0,0,0,0
MOD must ~ MOD should,0,1,0,0,0,0,1,0,0,0,0
PRES ~ PRES can,0,0,1,0,0,0,0,0,0,0,0
PRES PART ~ PRES PROG,1,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PRES,1,0,0,0,0,0,0,0,0,0,0
FUT PERF ~ PRES,0,0,1,0,0,0,0,0,0,0,0
HAB used to ~ MOD would,1,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES shall,1,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PRES,0,0,1,0,0,0,0,0,0,0,0
MOD would ~ PAST PERF,0,0,0,0,1,0,0,0,0,0,0
FUT PROG ~ MOD shall,0,0,0,1,0,0,0,0,0,0,0
FUT ~ PRES shall,0,1,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,0,0,0,0,1,0,0,0,0,0,0
FUT going-to ~ MOD is to,1,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD lest,0,0,1,0,0,0,0,0,0,0,0
MOD would ~ PAST PROG,1,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PART,0,0,0,0,1,0,0,0,0,0,0
MOD ~ PRES,1,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PROG,1,0,0,0,0,0,0,0,0,0,0
FUT PERF,0,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD,0,0,0,1,0,0,0,0,0,0,0
MOD let ~ MOD should,1,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PRES PERF,0,0,0,0,0,1,0,0,0,0,0
MOD is to ~ PRES PROG,1,0,0,0,0,0,0,0,0,0,0
MOD might ~ PRES PERF,0,0,0,0,0,0,1,0,0,0,0
MOD could ~ PAST PERF,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ PRES PERF,0,0,0,0,1,0,0,0,0,0,0
MOD is to ~ MOD lest,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD should,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,1,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD would,0,0,1,0,0,0,0,0,0,0,0
MOD that be ~ TO INF,1,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD let,0,1,0,0,0,0,0,0,0,0,0
MOD may ~ MOD should,1,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD that be,0,0,1,0,0,0,0,0,0,0,0
MOD let ~ PRES PERF,0,1,0,0,0,0,0,0,0,0,0
MOD let ~ PRES PART,0,0,0,0,1,0,0,0,0,0,0
MOD could ~ MOD shall,0,0,0,0,1,0,0,0,0,0,0
MOD must ~ MOD quest must,0,0,0,0,1,0,0,0,0,0,0
MOD must ~ PRES PART,0,0,0,0,1,0,0,0,0,0,0
MOD must ~ PRES PROG,0,0,0,0,0,0,1,0,0,0,0
MOD must ~ PRES shall,0,1,0,0,0,0,0,0,0,0,0
MOD must ~ TO INF,0,0,0,0,0,1,0,0,0,0,0
MOD can ~ MOD lest,1,0,0,0,0,0,0,0,0,0,0
MOD VB ~ TO INF,1,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD shall,0,0,0,0,1,0,0,0,0,0,0
MOD let ~ MOD that be,0,0,0,0,0,0,0,1,0,0,0
MOD VB ~ MOD can,1,0,0,0,0,0,0,0,0,0,0
JJ ~ PRES,0,0,0,0,0,0,1,0,0,0,0
IMPV ~ PRES PERF,1,0,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,0,0,1,0,0,0,0,0,0,0,0
IMPV ~ MOD need not,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PART,0,0,0,0,0,0,1,0,0,0,0
MOD that be,0,0,0,0,1,0,0,0,0,0,0
MOD quest must,0,1,0,0,0,0,0,0,0,0,0
