,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
MOD let ~ MOD shall,0.5,0.94,1.5,0.72,1.74,1.18,0.0,2.78,3.97,0.0,0.0
FUT ~ MOD should,1.66,0.47,0.75,1.74,1.91,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,0.83,1.03,4.14,0.79,0.0,0.0,0.0,3.04,0.0,0.0,0.0
MOD may ~ TO INF,1.66,0.47,0.75,0.0,0.0,0.0,14.62,0.0,0.0,0.0,0.0
IMPV ~ MOD must,2.33,1.03,0.0,0.79,0.87,0.0,0.0,0.0,4.34,0.0,0.0
IMPV ~ MOD let,0.95,0.52,0.0,1.93,0.96,1.41,0.0,3.34,4.77,0.0,0.0
IMPV ~ MOD can,0.37,23.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,1.39,0.52,1.84,0.87,0.0,1.41,0.0,0.0,4.77,0.0,0.0
PAST ~ TO INF,1.39,0.52,1.84,0.0,0.96,3.15,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD must,1.66,2.22,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,1.66,0.57,0.92,0.97,2.39,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to,1.66,0.0,2.07,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST,2.08,0.0,4.14,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0
MOD can ~ MOD should,2.77,0.0,4.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD could,1.0,0.74,1.18,1.24,1.37,0.0,0.0,4.78,0.0,0.0,0.0
MOD lest,2.22,0.0,1.38,0.0,0.0,0.0,11.64,0.0,0.0,0.0,0.0
PAST PERF,0.0,0.0,3.31,0.0,3.83,2.36,0.0,13.41,0.0,0.0,0.0
FUT ~ MOD must,0.28,0.86,0.0,3.48,3.83,2.36,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,4.16,0.0,1.38,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD would,0.83,1.03,1.65,0.0,1.91,0.0,5.81,0.0,0.0,0.0,0.0
MOD could ~ PAST,0.83,2.59,1.65,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,0.83,0.0,0.0,4.35,0.0,7.08,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,1.66,1.03,0.0,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,8.33,0.0,0.0,0.0,0.0,0.0,5.81,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,3.33,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,3.33,0.0,0.0,1.74,0.0,0.0,0.0,6.69,0.0,0.0,0.0
MOD let ~ MOD must,0.83,2.59,0.0,0.0,1.91,0.0,0.0,6.69,0.0,0.0,0.0
PRES PART ~ TO INF,0.83,5.17,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD may,3.33,0.0,1.65,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,1.66,2.59,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,2.5,0.0,2.07,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD may,0.0,1.29,2.07,2.17,2.39,0.0,0.0,0.0,11.93,0.0,0.0
MOD can ~ PRES PART,1.11,0.0,0.0,0.0,6.38,0.0,0.0,8.36,0.0,0.0,0.0
MOD is to ~ MOD must,6.66,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ TO INF,1.11,3.45,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,2.5,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ TO INF,6.66,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ TO INF,1.11,0.0,0.0,2.17,2.39,0.0,7.26,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,0.42,7.76,0.0,0.0,0.0,0.0,7.26,0.0,0.0,0.0,0.0
MOD would ~ TO INF,2.5,0.0,0.0,2.17,2.39,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PAST,0.42,0.0,0.0,0.0,0.0,0.0,43.78,0.0,11.93,0.0,0.0
MOD might ~ MOD should,1.11,0.0,2.07,0.0,0.0,3.54,0.0,8.36,0.0,0.0,0.0
MOD was to,0.42,1.29,0.0,2.17,6.38,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ PAST,1.66,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ TO INF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,0.0,1.72,0.0,0.0,0.0,0.0,87.57,0.0,0.0,0.0,0.0
MOD could ~ MOD might,0.55,1.72,2.75,0.0,0.0,0.0,0.0,11.15,0.0,0.0,0.0
MOD can ~ PAST,0.0,1.72,2.75,2.9,3.19,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,1.66,0.0,2.75,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ PRES,1.66,0.0,2.75,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,1.66,0.0,0.0,0.0,0.0,4.72,9.68,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.55,1.72,0.0,0.0,3.19,0.0,9.68,0.0,0.0,0.0,0.0
MOD should ~ PAST,1.66,0.0,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to,1.66,0.0,0.0,0.0,9.58,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD lest,0.55,1.72,2.75,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,0.55,0.0,0.0,2.9,3.19,0.0,0.0,0.0,15.91,0.0,0.0
FUT ~ PRES PROG,3.33,0.0,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,0.83,2.58,0.0,0.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PART,3.33,0.0,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD that be,0.0,2.58,0.0,0.0,0.0,0.0,0.0,67.08,0.0,0.0,0.0
MOD can ~ MOD let,0.83,2.58,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.0,0.0,4.13,0.0,19.16,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD might,3.33,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD would,0.0,10.34,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD must,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD should,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD is to,3.33,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,3.33,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD might,0.83,2.58,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES,3.33,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,0.83,0.0,0.0,0.0,0.0,28.34,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES do,0.0,5.17,0.0,0.0,9.57,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,1.66,0.0,8.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD should,1.66,0.0,8.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,1.66,0.0,0.0,0.0,0.0,0.0,29.04,0.0,0.0,0.0,0.0
MOD lest ~ MOD shall,0.0,5.17,8.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD should,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,1.66,0.0,0.0,0.0,0.0,14.15,0.0,0.0,0.0,0.0,0.0
MOD let ~ PAST,1.66,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ PRES,0.0,0.0,8.26,0.0,0.0,14.15,0.0,0.0,0.0,0.0,0.0
MOD need not ~ MOD shall,0.0,5.17,8.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,0.0,0.0,0.0,0.0,9.57,0.0,29.04,0.0,0.0,0.0,0.0
MOD can ~ MOD must,1.66,0.0,0.0,0.0,0.0,14.15,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES,0.0,5.17,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ TO INF,0.0,5.17,0.0,0.0,9.57,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,1.66,0.0,0.0,0.0,9.57,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD should,0.0,5.17,0.0,0.0,0.0,0.0,29.04,0.0,0.0,0.0,0.0
PRES ~ PRES can,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF ~ PRES,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES shall,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST PERF,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES shall,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD is to,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD lest,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD should,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD could ~ PAST PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PERF,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD should,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD would,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD let,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD should,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD that be,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD shall,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD quest must,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD must ~ PRES shall,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ TO INF,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD lest,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD shall,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD that be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
MOD VB ~ MOD can,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ ~ PRES,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD need not,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PART,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD that be,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
