eng_TAMsimp,prophetic,prose,instruction,poetry,list
IMPV ~ MOD can,inf,5.5,inf,1.22,inf
PAST ~ PAST PERF,10.0,2.0,inf,2.5,inf
MOD is to ~ MOD let,inf,1.8,2.25,inf,inf
MOD let ~ MOD must,9.0,1.5,4.5,inf,inf
MOD was to ~ PAST,4.5,3.0,3.0,9.0,inf
MOD can ~ MOD should,2.67,2.0,inf,8.0,inf
MOD can ~ MOD could,8.0,2.67,inf,2.0,inf
MOD let ~ MOD should,8.0,1.33,inf,8.0,inf
MOD let ~ PAST,8.0,8.0,8.0,1.6,inf
MOD could ~ MOD would,1.75,3.5,inf,7.0,inf
IMPV ~ MOD should,1.17,7.0,inf,inf,inf
MOD might ~ MOD would,2.33,inf,7.0,2.33,inf
IMPV ~ PRES PART,2.33,2.33,7.0,inf,inf
FUT ~ MOD must,3.5,3.5,inf,2.33,inf
IMPV ~ TO INF,3.5,3.5,3.5,7.0,inf
MOD should ~ MOD was to,inf,1.4,inf,3.5,inf
IMPV ~ PAST,1.75,3.5,inf,7.0,inf
MOD lest ~ MOD might,6.0,1.5,6.0,inf,inf
MOD is to ~ MOD may,inf,3.0,1.5,inf,inf
MOD can ~ TO INF,6.0,3.0,inf,2.0,inf
MOD could ~ PAST,inf,3.0,inf,1.5,inf
MOD could ~ MOD might,6.0,1.5,inf,6.0,inf
PRES PART ~ TO INF,6.0,inf,2.0,3.0,inf
PAST ~ PAST PROG,3.0,2.0,inf,6.0,inf
MOD shall ~ MOD would,inf,3.0,6.0,2.0,inf
?VB ~ MOD let,inf,6.0,inf,1.2,inf
FUT ~ PRES PERF,3.0,2.0,inf,6.0,inf
FUT ~ FUT going-to,inf,1.0,inf,inf,inf
MOD may ~ PRES PART,2.0,2.0,inf,inf,inf
FUT going-to ~ MOD shall,6.0,1.2,inf,inf,inf
MOD let ~ PRES PART,5.0,2.5,inf,2.5,inf
MOD VB ~ MOD may,2.5,inf,5.0,2.5,inf
MOD is to ~ MOD must,5.0,1.25,inf,inf,inf
MOD might ~ TO INF,2.5,5.0,inf,2.5,inf
MOD lest ~ TO INF,inf,1.25,5.0,inf,inf
MOD might ~ PAST,1.67,inf,inf,2.5,inf
MOD can ~ MOD let,5.0,1.25,inf,inf,inf
MOD might ~ MOD should,inf,1.67,inf,2.5,inf
MOD can ~ PRES PART,5.0,5.0,inf,1.67,inf
MOD would ~ TO INF,5.0,5.0,inf,1.67,inf
MOD can ~ PAST,1.33,4.0,inf,inf,inf
?VB ~ PAST,inf,2.0,inf,2.0,inf
PRES PERF ~ TO INF,1.0,inf,inf,inf,inf
FUT ~ MOD is to,4.0,1.33,inf,inf,inf
MOD VB ~ PRES,inf,inf,inf,1.0,inf
MOD should ~ PAST,4.0,4.0,inf,2.0,inf
PAST PERF ~ PRES,4.0,2.0,inf,4.0,inf
FUT ~ PRES PROG,4.0,1.33,inf,inf,inf
IMPV ~ MOD lest,2.0,4.0,inf,4.0,inf
MOD can ~ MOD might,inf,1.0,inf,inf,inf
MOD could ~ MOD should,3.0,1.5,inf,inf,inf
MOD would ~ PRES PART,3.0,3.0,inf,3.0,inf
FUT PROG ~ PRES,inf,inf,1.5,3.0,inf
FUT ~ MOD that be,inf,1.5,3.0,inf,inf
PRES PART ~ PRES PERF,3.0,inf,inf,1.5,inf
MOD could ~ MOD must,inf,inf,inf,1.0,inf
IMPV ~ MOD is to,inf,1.0,inf,inf,inf
MOD shall ~ PRES PERF,inf,1.0,inf,inf,inf
MOD may ~ PAST,inf,3.0,inf,1.5,inf
MOD need not ~ MOD shall,inf,3.0,inf,1.5,inf
MOD may ~ MOD might,3.0,3.0,inf,3.0,inf
MOD may ~ PRES PERF,inf,3.0,3.0,3.0,inf
MOD let ~ PRES PERF,inf,1.5,inf,3.0,inf
MOD let ~ MOD would,inf,1.5,inf,3.0,inf
MOD is to ~ PRES PART,inf,1.5,inf,3.0,inf
MOD lest ~ MOD would,inf,1.5,3.0,inf,inf
MOD should ~ PRES PERF,2.0,2.0,inf,inf,inf
MOD let ~ MOD that be,inf,2.0,inf,2.0,inf
MOD must ~ MOD should,inf,2.0,inf,2.0,inf
PAST PROG ~ PRES,2.0,inf,inf,2.0,inf
MOD lest ~ MOD should,inf,inf,inf,1.0,inf
PRES ~ PRES do,inf,inf,inf,1.0,inf
??VB ~ MOD let,inf,1.0,inf,inf,inf
MOD lest ~ MOD shall,2.0,2.0,inf,inf,inf
MOD is to ~ PRES,inf,1.0,inf,inf,inf
MOD could ~ TO INF,inf,2.0,inf,2.0,inf
MOD is to ~ TO INF,inf,2.0,inf,2.0,inf
MOD need not ~ PRES,2.0,inf,2.0,inf,inf
?VB ~ MOD shall,inf,2.0,2.0,inf,inf
?VB ~ MOD must,inf,1.0,inf,inf,inf
MOD can ~ MOD must,inf,2.0,inf,2.0,inf
?VB ~ IMPV,inf,1.0,inf,inf,inf
PRES PART ~ PRES PROG,inf,1.0,inf,inf,inf
?VB ~ MOD lest,inf,inf,inf,1.0,inf
MOD should ~ PRES PART,inf,1.0,inf,inf,inf
MOD might ~ PRES PERF,1.0,inf,inf,inf,inf
MOD must ~ MOD quest must,1.0,inf,inf,inf,inf
MOD quest must ~ MOD shall,inf,1.0,inf,inf,inf
PRES PERF ~ PRES PROG,inf,inf,inf,1.0,inf
FUT PROG ~ MOD shall,inf,inf,1.0,inf,inf
FUT going-to ~ MOD is to,1.0,inf,inf,inf,inf
MOD must ~ PRES PROG,inf,inf,inf,1.0,inf
PRES ~ PRES can,inf,1.0,inf,inf,inf
FUT ~ MOD,inf,1.0,inf,inf,inf
FUT PERF ~ PRES,inf,1.0,inf,inf,inf
MOD may ~ MOD would,inf,1.0,inf,inf,inf
MOD must ~ PRES shall,inf,inf,1.0,inf,inf
FUT ~ FUT PROG,inf,inf,inf,1.0,inf
MOD must ~ TO INF,inf,1.0,inf,inf,inf
FUT going-to ~ MOD lest,inf,1.0,inf,inf,inf
MOD must ~ PRES PART,inf,1.0,inf,inf,inf
MOD could ~ MOD shall,inf,1.0,inf,inf,inf
MOD may ~ MOD should,inf,inf,inf,1.0,inf
MOD that be ~ TO INF,inf,inf,1.0,inf,inf
MOD could ~ PRES PERF,inf,inf,inf,1.0,inf
MOD is to ~ MOD lest,1.0,inf,inf,inf,inf
MOD would ~ PAST PROG,inf,inf,inf,1.0,inf
MOD is to ~ MOD should,inf,1.0,inf,inf,inf
MOD is to ~ PRES PROG,inf,1.0,inf,inf,inf
MOD ~ PRES,inf,1.0,inf,inf,inf
MOD can ~ MOD lest,inf,1.0,inf,inf,inf
MOD lest ~ MOD let,inf,1.0,inf,inf,inf
MOD VB ~ TO INF,inf,inf,inf,1.0,inf
PRES ~ PRES shall,inf,inf,1.0,inf,inf
MOD VB ~ MOD shall,1.0,inf,inf,inf,inf
MOD lest ~ MOD must,inf,inf,1.0,inf,inf
MOD VB ~ MOD can,inf,inf,inf,1.0,inf
JJ ~ PRES,inf,inf,inf,1.0,inf
IMPV ~ PRES PERF,1.0,inf,inf,inf,inf
MOD lest ~ MOD that be,inf,inf,1.0,inf,inf
MOD would ~ PAST PERF,1.0,inf,inf,inf,inf
IMPV ~ MOD need not,inf,inf,1.0,inf,inf
MOD let ~ MOD might,1.0,inf,inf,inf,inf
PAST PROG ~ PRES PART,1.0,inf,inf,inf,inf
MOD was to ~ PRES,inf,1.0,inf,inf,inf
IMPV ~ MOD,inf,1.0,inf,inf,inf
HAB used to ~ PRES PERF,inf,inf,inf,1.0,inf
MOD could ~ PAST PERF,inf,1.0,inf,inf,inf
MOD let ~ VB,inf,1.0,inf,inf,inf
HAB used to ~ MOD would,inf,inf,inf,1.0,inf
FUT ~ PRES shall,inf,inf,1.0,inf,inf
HAB used to ~ PRES,inf,1.0,inf,inf,inf
