eng_TAMsimp,Main,SubAdv,SubMod
FUT ~ FUT PROG,0.0,inf,inf
MOD might ~ MOD would,0.0,inf,inf
PAST PROG ~ TO INF,0.0,inf,inf
FUT PROG,0.0,inf,inf
FUT ~ MOD should,0.0,inf,inf
FUT ~ MOD that be,0.0,inf,inf
PAST PERF ~ PRES PART,inf,0.0,inf
MOD could,0.0,inf,inf
PRES PERF ~ TO INF,0.0,inf,inf
MOD let ~ MOD might,0.0,inf,inf
MOD might,0.0,inf,inf
MOD quest must ~ MOD shall,0.0,inf,inf
PRES ~ VB,inf,0.0,inf
MOD could ~ MOD would,0.0,inf,inf
MOD lest ~ PRES,0.0,inf,inf
HAB used to ~ PAST PROG,0.0,inf,inf
HAB used to ~ PRES PART,0.0,inf,inf
MOD could ~ TO INF,inf,0.0,inf
IMPV ~ MOD VB,0.0,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf
MOD is to ~ PRES PART,0.0,inf,inf
MOD VB ~ MOD can,inf,0.0,inf
